group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Parallel Abe,keygen,,,,4013856.0,ns,97
Parallel Abe,keygen,,,,8031892.0,ns,194
Parallel Abe,keygen,,,,12041598.0,ns,291
Parallel Abe,keygen,,,,16052795.0,ns,388
Parallel Abe,keygen,,,,20044349.0,ns,485
Parallel Abe,keygen,,,,24090488.0,ns,582
Parallel Abe,keygen,,,,28086672.0,ns,679
Parallel Abe,keygen,,,,32116089.0,ns,776
Parallel Abe,keygen,,,,36111985.0,ns,873
Parallel Abe,keygen,,,,40139471.0,ns,970
Parallel Abe,keygen,,,,44130957.0,ns,1067
Parallel Abe,keygen,,,,48125632.0,ns,1164
Parallel Abe,keygen,,,,52129339.0,ns,1261
Parallel Abe,keygen,,,,56132554.0,ns,1358
Parallel Abe,keygen,,,,60223592.0,ns,1455
Parallel Abe,keygen,,,,64223108.0,ns,1552
Parallel Abe,keygen,,,,68190793.0,ns,1649
Parallel Abe,keygen,,,,72165758.0,ns,1746
Parallel Abe,keygen,,,,76216886.0,ns,1843
Parallel Abe,keygen,,,,80243721.0,ns,1940
Parallel Abe,keygen,,,,84284248.0,ns,2037
Parallel Abe,keygen,,,,88208782.0,ns,2134
Parallel Abe,keygen,,,,92215209.0,ns,2231
Parallel Abe,keygen,,,,96220704.0,ns,2328
Parallel Abe,keygen,,,,100273711.0,ns,2425
Parallel Abe,keygen,,,,104203086.0,ns,2522
Parallel Abe,keygen,,,,108182811.0,ns,2619
Parallel Abe,keygen,,,,112174426.0,ns,2716
Parallel Abe,keygen,,,,116176043.0,ns,2813
Parallel Abe,keygen,,,,120244809.0,ns,2910
Parallel Abe,keygen,,,,124265636.0,ns,3007
Parallel Abe,keygen,,,,128368874.0,ns,3104
Parallel Abe,keygen,,,,132427241.0,ns,3201
Parallel Abe,keygen,,,,136299725.0,ns,3298
Parallel Abe,keygen,,,,140403342.0,ns,3395
Parallel Abe,keygen,,,,144322336.0,ns,3492
Parallel Abe,keygen,,,,148420714.0,ns,3589
Parallel Abe,keygen,,,,152446521.0,ns,3686
Parallel Abe,keygen,,,,156453347.0,ns,3783
Parallel Abe,keygen,,,,160422411.0,ns,3880
Parallel Abe,keygen,,,,164358957.0,ns,3977
Parallel Abe,keygen,,,,168326830.0,ns,4074
Parallel Abe,keygen,,,,172314097.0,ns,4171
Parallel Abe,keygen,,,,176394244.0,ns,4268
Parallel Abe,keygen,,,,180411571.0,ns,4365
Parallel Abe,keygen,,,,184360355.0,ns,4462
Parallel Abe,keygen,,,,188420153.0,ns,4559
Parallel Abe,keygen,,,,192380967.0,ns,4656
Parallel Abe,keygen,,,,196565847.0,ns,4753
Parallel Abe,keygen,,,,200413109.0,ns,4850
Parallel Abe,keygen,,,,204450366.0,ns,4947
Parallel Abe,keygen,,,,208479603.0,ns,5044
Parallel Abe,keygen,,,,212632642.0,ns,5141
Parallel Abe,keygen,,,,216649488.0,ns,5238
Parallel Abe,keygen,,,,220486991.0,ns,5335
Parallel Abe,keygen,,,,224460445.0,ns,5432
Parallel Abe,keygen,,,,228505412.0,ns,5529
Parallel Abe,keygen,,,,232513318.0,ns,5626
Parallel Abe,keygen,,,,236639067.0,ns,5723
Parallel Abe,keygen,,,,240648463.0,ns,5820
Parallel Abe,keygen,,,,244416153.0,ns,5917
Parallel Abe,keygen,,,,248444220.0,ns,6014
Parallel Abe,keygen,,,,252530539.0,ns,6111
Parallel Abe,keygen,,,,256590684.0,ns,6208
Parallel Abe,keygen,,,,260530359.0,ns,6305
Parallel Abe,keygen,,,,268302146.0,ns,6402
Parallel Abe,keygen,,,,268787457.0,ns,6499
Parallel Abe,keygen,,,,272527097.0,ns,6596
Parallel Abe,keygen,,,,276611524.0,ns,6693
Parallel Abe,keygen,,,,280613140.0,ns,6790
Parallel Abe,keygen,,,,284653877.0,ns,6887
Parallel Abe,keygen,,,,288802336.0,ns,6984
Parallel Abe,keygen,,,,292597977.0,ns,7081
Parallel Abe,keygen,,,,296721676.0,ns,7178
Parallel Abe,keygen,,,,300689292.0,ns,7275
Parallel Abe,keygen,,,,304649955.0,ns,7372
Parallel Abe,keygen,,,,308830035.0,ns,7469
Parallel Abe,keygen,,,,312725520.0,ns,7566
Parallel Abe,keygen,,,,316656474.0,ns,7663
Parallel Abe,keygen,,,,320770451.0,ns,7760
Parallel Abe,keygen,,,,324815008.0,ns,7857
Parallel Abe,keygen,,,,328598380.0,ns,7954
Parallel Abe,keygen,,,,332713719.0,ns,8051
Parallel Abe,keygen,,,,336799565.0,ns,8148
Parallel Abe,keygen,,,,340803791.0,ns,8245
Parallel Abe,keygen,,,,344869129.0,ns,8342
Parallel Abe,keygen,,,,348841164.0,ns,8439
Parallel Abe,keygen,,,,352774708.0,ns,8536
Parallel Abe,keygen,,,,356747504.0,ns,8633
Parallel Abe,keygen,,,,360908352.0,ns,8730
Parallel Abe,keygen,,,,364690774.0,ns,8827
Parallel Abe,keygen,,,,368932875.0,ns,8924
Parallel Abe,keygen,,,,372879380.0,ns,9021
Parallel Abe,keygen,,,,376798824.0,ns,9118
Parallel Abe,keygen,,,,380868602.0,ns,9215
Parallel Abe,keygen,,,,384924907.0,ns,9312
Parallel Abe,keygen,,,,389272252.0,ns,9409
Parallel Abe,keygen,,,,392928499.0,ns,9506
Parallel Abe,keygen,,,,396676651.0,ns,9603
Parallel Abe,keygen,,,,401035613.0,ns,9700
