group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Parallel Abe,step 3[s = 16],,,,4087888.0,ns,24
Parallel Abe,step 3[s = 16],,,,8088365.0,ns,48
Parallel Abe,step 3[s = 16],,,,12050220.0,ns,72
Parallel Abe,step 3[s = 16],,,,16119508.0,ns,96
Parallel Abe,step 3[s = 16],,,,20519852.0,ns,120
Parallel Abe,step 3[s = 16],,,,24405156.0,ns,144
Parallel Abe,step 3[s = 16],,,,28270401.0,ns,168
Parallel Abe,step 3[s = 16],,,,32548441.0,ns,192
Parallel Abe,step 3[s = 16],,,,36337304.0,ns,216
Parallel Abe,step 3[s = 16],,,,40897393.0,ns,240
Parallel Abe,step 3[s = 16],,,,44410988.0,ns,264
Parallel Abe,step 3[s = 16],,,,48699430.0,ns,288
Parallel Abe,step 3[s = 16],,,,52631896.0,ns,312
Parallel Abe,step 3[s = 16],,,,56722653.0,ns,336
Parallel Abe,step 3[s = 16],,,,60796092.0,ns,360
Parallel Abe,step 3[s = 16],,,,65331540.0,ns,384
Parallel Abe,step 3[s = 16],,,,68857585.0,ns,408
Parallel Abe,step 3[s = 16],,,,72904533.0,ns,432
Parallel Abe,step 3[s = 16],,,,77331488.0,ns,456
Parallel Abe,step 3[s = 16],,,,81587110.0,ns,480
Parallel Abe,step 3[s = 16],,,,85795431.0,ns,504
Parallel Abe,step 3[s = 16],,,,90132574.0,ns,528
Parallel Abe,step 3[s = 16],,,,93560879.0,ns,552
Parallel Abe,step 3[s = 16],,,,98041685.0,ns,576
Parallel Abe,step 3[s = 16],,,,101736515.0,ns,600
Parallel Abe,step 3[s = 16],,,,105669150.0,ns,624
Parallel Abe,step 3[s = 16],,,,110415862.0,ns,648
Parallel Abe,step 3[s = 16],,,,113591460.0,ns,672
Parallel Abe,step 3[s = 16],,,,117462694.0,ns,696
Parallel Abe,step 3[s = 16],,,,121789187.0,ns,720
Parallel Abe,step 3[s = 16],,,,126871837.0,ns,744
Parallel Abe,step 3[s = 16],,,,130200319.0,ns,768
Parallel Abe,step 3[s = 16],,,,132811135.0,ns,792
Parallel Abe,step 3[s = 16],,,,138510759.0,ns,816
Parallel Abe,step 3[s = 16],,,,142308359.0,ns,840
Parallel Abe,step 3[s = 16],,,,146740226.0,ns,864
Parallel Abe,step 3[s = 16],,,,150912085.0,ns,888
Parallel Abe,step 3[s = 16],,,,155106456.0,ns,912
Parallel Abe,step 3[s = 16],,,,158077970.0,ns,936
Parallel Abe,step 3[s = 16],,,,161901803.0,ns,960
Parallel Abe,step 3[s = 16],,,,166322219.0,ns,984
Parallel Abe,step 3[s = 16],,,,171667913.0,ns,1008
Parallel Abe,step 3[s = 16],,,,175274871.0,ns,1032
Parallel Abe,step 3[s = 16],,,,179086844.0,ns,1056
Parallel Abe,step 3[s = 16],,,,183046898.0,ns,1080
Parallel Abe,step 3[s = 16],,,,186005453.0,ns,1104
Parallel Abe,step 3[s = 16],,,,190347656.0,ns,1128
Parallel Abe,step 3[s = 16],,,,195376816.0,ns,1152
Parallel Abe,step 3[s = 16],,,,198859470.0,ns,1176
Parallel Abe,step 3[s = 16],,,,202938727.0,ns,1200
Parallel Abe,step 3[s = 16],,,,208495498.0,ns,1224
Parallel Abe,step 3[s = 16],,,,211959543.0,ns,1248
Parallel Abe,step 3[s = 16],,,,215202142.0,ns,1272
Parallel Abe,step 3[s = 16],,,,219880834.0,ns,1296
Parallel Abe,step 3[s = 16],,,,222581951.0,ns,1320
Parallel Abe,step 3[s = 16],,,,227542219.0,ns,1344
Parallel Abe,step 3[s = 16],,,,232215110.0,ns,1368
Parallel Abe,step 3[s = 16],,,,234857066.0,ns,1392
Parallel Abe,step 3[s = 16],,,,239479427.0,ns,1416
Parallel Abe,step 3[s = 16],,,,244735339.0,ns,1440
Parallel Abe,step 3[s = 16],,,,246913137.0,ns,1464
Parallel Abe,step 3[s = 16],,,,251490416.0,ns,1488
Parallel Abe,step 3[s = 16],,,,254377077.0,ns,1512
Parallel Abe,step 3[s = 16],,,,261223956.0,ns,1536
