group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Parallel Abe,step 3[s = 1],,,,4256881.0,ns,266
Parallel Abe,step 3[s = 1],,,,8453590.0,ns,532
Parallel Abe,step 3[s = 1],,,,12702972.0,ns,798
Parallel Abe,step 3[s = 1],,,,16919190.0,ns,1064
Parallel Abe,step 3[s = 1],,,,21168582.0,ns,1330
Parallel Abe,step 3[s = 1],,,,25421632.0,ns,1596
Parallel Abe,step 3[s = 1],,,,29633082.0,ns,1862
Parallel Abe,step 3[s = 1],,,,33875583.0,ns,2128
Parallel Abe,step 3[s = 1],,,,38189825.0,ns,2394
Parallel Abe,step 3[s = 1],,,,42281322.0,ns,2660
Parallel Abe,step 3[s = 1],,,,46601494.0,ns,2926
Parallel Abe,step 3[s = 1],,,,50841365.0,ns,3192
Parallel Abe,step 3[s = 1],,,,55076025.0,ns,3458
Parallel Abe,step 3[s = 1],,,,59232344.0,ns,3724
Parallel Abe,step 3[s = 1],,,,63504234.0,ns,3990
Parallel Abe,step 3[s = 1],,,,67780387.0,ns,4256
Parallel Abe,step 3[s = 1],,,,72085407.0,ns,4522
Parallel Abe,step 3[s = 1],,,,76140274.0,ns,4788
Parallel Abe,step 3[s = 1],,,,80554270.0,ns,5054
Parallel Abe,step 3[s = 1],,,,84785199.0,ns,5320
Parallel Abe,step 3[s = 1],,,,89016988.0,ns,5586
Parallel Abe,step 3[s = 1],,,,93259960.0,ns,5852
Parallel Abe,step 3[s = 1],,,,97741726.0,ns,6118
Parallel Abe,step 3[s = 1],,,,101799271.0,ns,6384
Parallel Abe,step 3[s = 1],,,,106109194.0,ns,6650
Parallel Abe,step 3[s = 1],,,,110333594.0,ns,6916
Parallel Abe,step 3[s = 1],,,,114586785.0,ns,7182
Parallel Abe,step 3[s = 1],,,,118958757.0,ns,7448
Parallel Abe,step 3[s = 1],,,,123212939.0,ns,7714
Parallel Abe,step 3[s = 1],,,,127372947.0,ns,7980
Parallel Abe,step 3[s = 1],,,,131590358.0,ns,8246
Parallel Abe,step 3[s = 1],,,,133806645.0,ns,8512
Parallel Abe,step 3[s = 1],,,,137698967.0,ns,8778
Parallel Abe,step 3[s = 1],,,,144307239.0,ns,9044
Parallel Abe,step 3[s = 1],,,,148645171.0,ns,9310
Parallel Abe,step 3[s = 1],,,,152733419.0,ns,9576
Parallel Abe,step 3[s = 1],,,,156821515.0,ns,9842
Parallel Abe,step 3[s = 1],,,,161131968.0,ns,10108
Parallel Abe,step 3[s = 1],,,,165291817.0,ns,10374
Parallel Abe,step 3[s = 1],,,,169525867.0,ns,10640
Parallel Abe,step 3[s = 1],,,,174012302.0,ns,10906
Parallel Abe,step 3[s = 1],,,,178268534.0,ns,11172
Parallel Abe,step 3[s = 1],,,,182363120.0,ns,11438
Parallel Abe,step 3[s = 1],,,,186607541.0,ns,11704
Parallel Abe,step 3[s = 1],,,,190835191.0,ns,11970
Parallel Abe,step 3[s = 1],,,,195327757.0,ns,12236
Parallel Abe,step 3[s = 1],,,,199565588.0,ns,12502
Parallel Abe,step 3[s = 1],,,,203691866.0,ns,12768
Parallel Abe,step 3[s = 1],,,,202694274.0,ns,13034
Parallel Abe,step 3[s = 1],,,,179940759.0,ns,13300
Parallel Abe,step 3[s = 1],,,,183677559.0,ns,13566
Parallel Abe,step 3[s = 1],,,,203514042.0,ns,13832
Parallel Abe,step 3[s = 1],,,,224804446.0,ns,14098
Parallel Abe,step 3[s = 1],,,,227168067.0,ns,14364
Parallel Abe,step 3[s = 1],,,,230939957.0,ns,14630
Parallel Abe,step 3[s = 1],,,,237307202.0,ns,14896
Parallel Abe,step 3[s = 1],,,,241566994.0,ns,15162
Parallel Abe,step 3[s = 1],,,,245784174.0,ns,15428
Parallel Abe,step 3[s = 1],,,,250077865.0,ns,15694
Parallel Abe,step 3[s = 1],,,,254652062.0,ns,15960
Parallel Abe,step 3[s = 1],,,,258738270.0,ns,16226
Parallel Abe,step 3[s = 1],,,,263146684.0,ns,16492
Parallel Abe,step 3[s = 1],,,,267333804.0,ns,16758
Parallel Abe,step 3[s = 1],,,,271810279.0,ns,17024
Parallel Abe,step 3[s = 1],,,,275843004.0,ns,17290
