group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Sequential Blind Schnorr,keygen,,,,1004171.0,ns,57
Sequential Blind Schnorr,keygen,,,,1988083.0,ns,114
Sequential Blind Schnorr,keygen,,,,2991895.0,ns,171
Sequential Blind Schnorr,keygen,,,,3992516.0,ns,228
Sequential Blind Schnorr,keygen,,,,4979637.0,ns,285
Sequential Blind Schnorr,keygen,,,,5988319.0,ns,342
Sequential Blind Schnorr,keygen,,,,6981881.0,ns,399
Sequential Blind Schnorr,keygen,,,,7975733.0,ns,456
Sequential Blind Schnorr,keygen,,,,8967433.0,ns,513
Sequential Blind Schnorr,keygen,,,,9969905.0,ns,570
Sequential Blind Schnorr,keygen,,,,10968926.0,ns,627
Sequential Blind Schnorr,keygen,,,,11973698.0,ns,684
Sequential Blind Schnorr,keygen,,,,12951890.0,ns,741
Sequential Blind Schnorr,keygen,,,,13955422.0,ns,798
Sequential Blind Schnorr,keygen,,,,14961682.0,ns,855
Sequential Blind Schnorr,keygen,,,,15958284.0,ns,912
Sequential Blind Schnorr,keygen,,,,16959956.0,ns,969
Sequential Blind Schnorr,keygen,,,,17972318.0,ns,1026
Sequential Blind Schnorr,keygen,,,,18947039.0,ns,1083
Sequential Blind Schnorr,keygen,,,,19927109.0,ns,1140
Sequential Blind Schnorr,keygen,,,,20922382.0,ns,1197
Sequential Blind Schnorr,keygen,,,,21930513.0,ns,1254
Sequential Blind Schnorr,keygen,,,,22934205.0,ns,1311
Sequential Blind Schnorr,keygen,,,,23943667.0,ns,1368
Sequential Blind Schnorr,keygen,,,,24953477.0,ns,1425
Sequential Blind Schnorr,keygen,,,,25931370.0,ns,1482
Sequential Blind Schnorr,keygen,,,,26932271.0,ns,1539
Sequential Blind Schnorr,keygen,,,,27950363.0,ns,1596
Sequential Blind Schnorr,keygen,,,,28925234.0,ns,1653
Sequential Blind Schnorr,keygen,,,,29913475.0,ns,1710
Sequential Blind Schnorr,keygen,,,,30918798.0,ns,1767
Sequential Blind Schnorr,keygen,,,,31928218.0,ns,1824
Sequential Blind Schnorr,keygen,,,,32907730.0,ns,1881
Sequential Blind Schnorr,keygen,,,,33904841.0,ns,1938
Sequential Blind Schnorr,keygen,,,,34903184.0,ns,1995
Sequential Blind Schnorr,keygen,,,,35923794.0,ns,2052
Sequential Blind Schnorr,keygen,,,,36909097.0,ns,2109
Sequential Blind Schnorr,keygen,,,,37915527.0,ns,2166
Sequential Blind Schnorr,keygen,,,,38894650.0,ns,2223
Sequential Blind Schnorr,keygen,,,,39909170.0,ns,2280
Sequential Blind Schnorr,keygen,,,,40874673.0,ns,2337
Sequential Blind Schnorr,keygen,,,,41864982.0,ns,2394
Sequential Blind Schnorr,keygen,,,,42863695.0,ns,2451
Sequential Blind Schnorr,keygen,,,,43892737.0,ns,2508
Sequential Blind Schnorr,keygen,,,,44880348.0,ns,2565
Sequential Blind Schnorr,keygen,,,,45871680.0,ns,2622
Sequential Blind Schnorr,keygen,,,,46825640.0,ns,2679
Sequential Blind Schnorr,keygen,,,,47872563.0,ns,2736
Sequential Blind Schnorr,keygen,,,,48884555.0,ns,2793
Sequential Blind Schnorr,keygen,,,,49818555.0,ns,2850
Sequential Blind Schnorr,keygen,,,,50835366.0,ns,2907
Sequential Blind Schnorr,keygen,,,,51781707.0,ns,2964
Sequential Blind Schnorr,keygen,,,,52836500.0,ns,3021
Sequential Blind Schnorr,keygen,,,,53842972.0,ns,3078
Sequential Blind Schnorr,keygen,,,,54869133.0,ns,3135
Sequential Blind Schnorr,keygen,,,,55859826.0,ns,3192
Sequential Blind Schnorr,keygen,,,,56882057.0,ns,3249
Sequential Blind Schnorr,keygen,,,,57843877.0,ns,3306
Sequential Blind Schnorr,keygen,,,,58792378.0,ns,3363
Sequential Blind Schnorr,keygen,,,,59824991.0,ns,3420
Sequential Blind Schnorr,keygen,,,,60863023.0,ns,3477
Sequential Blind Schnorr,keygen,,,,61851745.0,ns,3534
Sequential Blind Schnorr,keygen,,,,62783024.0,ns,3591
Sequential Blind Schnorr,keygen,,,,63804536.0,ns,3648
Sequential Blind Schnorr,keygen,,,,64809588.0,ns,3705
Sequential Blind Schnorr,keygen,,,,65842531.0,ns,3762
Sequential Blind Schnorr,keygen,,,,66795111.0,ns,3819
Sequential Blind Schnorr,keygen,,,,67824143.0,ns,3876
Sequential Blind Schnorr,keygen,,,,68752143.0,ns,3933
Sequential Blind Schnorr,keygen,,,,69771595.0,ns,3990
Sequential Blind Schnorr,keygen,,,,70773187.0,ns,4047
Sequential Blind Schnorr,keygen,,,,71759588.0,ns,4104
Sequential Blind Schnorr,keygen,,,,72738800.0,ns,4161
Sequential Blind Schnorr,keygen,,,,73757391.0,ns,4218
Sequential Blind Schnorr,keygen,,,,74677441.0,ns,4275
Sequential Blind Schnorr,keygen,,,,75694983.0,ns,4332
Sequential Blind Schnorr,keygen,,,,76747885.0,ns,4389
Sequential Blind Schnorr,keygen,,,,77792928.0,ns,4446
Sequential Blind Schnorr,keygen,,,,78758789.0,ns,4503
Sequential Blind Schnorr,keygen,,,,79762821.0,ns,4560
Sequential Blind Schnorr,keygen,,,,80711801.0,ns,4617
Sequential Blind Schnorr,keygen,,,,81744594.0,ns,4674
Sequential Blind Schnorr,keygen,,,,82738484.0,ns,4731
Sequential Blind Schnorr,keygen,,,,83721767.0,ns,4788
Sequential Blind Schnorr,keygen,,,,84755909.0,ns,4845
Sequential Blind Schnorr,keygen,,,,85732799.0,ns,4902
Sequential Blind Schnorr,keygen,,,,86751742.0,ns,4959
Sequential Blind Schnorr,keygen,,,,87719142.0,ns,5016
Sequential Blind Schnorr,keygen,,,,88706574.0,ns,5073
Sequential Blind Schnorr,keygen,,,,89695734.0,ns,5130
Sequential Blind Schnorr,keygen,,,,90699387.0,ns,5187
Sequential Blind Schnorr,keygen,,,,91660648.0,ns,5244
Sequential Blind Schnorr,keygen,,,,92686949.0,ns,5301
Sequential Blind Schnorr,keygen,,,,93776713.0,ns,5358
Sequential Blind Schnorr,keygen,,,,94691093.0,ns,5415
Sequential Blind Schnorr,keygen,,,,95732125.0,ns,5472
Sequential Blind Schnorr,keygen,,,,96724907.0,ns,5529
Sequential Blind Schnorr,keygen,,,,97693757.0,ns,5586
Sequential Blind Schnorr,keygen,,,,98642119.0,ns,5643
Sequential Blind Schnorr,keygen,,,,99689190.0,ns,5700
