group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Sequential Blind Schnorr,step 1[s = 2],,,,997421.0,ns,29
Sequential Blind Schnorr,step 1[s = 2],,,,1984513.0,ns,58
Sequential Blind Schnorr,step 1[s = 2],,,,2972554.0,ns,87
Sequential Blind Schnorr,step 1[s = 2],,,,3971866.0,ns,116
Sequential Blind Schnorr,step 1[s = 2],,,,4970309.0,ns,145
Sequential Blind Schnorr,step 1[s = 2],,,,5965849.0,ns,174
Sequential Blind Schnorr,step 1[s = 2],,,,6968811.0,ns,203
Sequential Blind Schnorr,step 1[s = 2],,,,7955723.0,ns,232
Sequential Blind Schnorr,step 1[s = 2],,,,8965484.0,ns,261
Sequential Blind Schnorr,step 1[s = 2],,,,9925835.0,ns,290
Sequential Blind Schnorr,step 1[s = 2],,,,10945828.0,ns,319
Sequential Blind Schnorr,step 1[s = 2],,,,11908518.0,ns,348
Sequential Blind Schnorr,step 1[s = 2],,,,12908950.0,ns,377
Sequential Blind Schnorr,step 1[s = 2],,,,13892751.0,ns,406
Sequential Blind Schnorr,step 1[s = 2],,,,14892484.0,ns,435
Sequential Blind Schnorr,step 1[s = 2],,,,15927735.0,ns,464
Sequential Blind Schnorr,step 1[s = 2],,,,16899427.0,ns,493
Sequential Blind Schnorr,step 1[s = 2],,,,17891647.0,ns,522
Sequential Blind Schnorr,step 1[s = 2],,,,18858770.0,ns,551
Sequential Blind Schnorr,step 1[s = 2],,,,19880161.0,ns,580
Sequential Blind Schnorr,step 1[s = 2],,,,20879933.0,ns,609
Sequential Blind Schnorr,step 1[s = 2],,,,21836434.0,ns,638
Sequential Blind Schnorr,step 1[s = 2],,,,22828605.0,ns,667
Sequential Blind Schnorr,step 1[s = 2],,,,23852768.0,ns,696
Sequential Blind Schnorr,step 1[s = 2],,,,24847759.0,ns,725
Sequential Blind Schnorr,step 1[s = 2],,,,25860950.0,ns,754
Sequential Blind Schnorr,step 1[s = 2],,,,26954765.0,ns,783
Sequential Blind Schnorr,step 1[s = 2],,,,27793183.0,ns,812
Sequential Blind Schnorr,step 1[s = 2],,,,28828585.0,ns,841
Sequential Blind Schnorr,step 1[s = 2],,,,29816757.0,ns,870
Sequential Blind Schnorr,step 1[s = 2],,,,30809778.0,ns,899
Sequential Blind Schnorr,step 1[s = 2],,,,31840602.0,ns,928
Sequential Blind Schnorr,step 1[s = 2],,,,32811451.0,ns,957
Sequential Blind Schnorr,step 1[s = 2],,,,33762032.0,ns,986
Sequential Blind Schnorr,step 1[s = 2],,,,34747104.0,ns,1015
Sequential Blind Schnorr,step 1[s = 2],,,,35747335.0,ns,1044
Sequential Blind Schnorr,step 1[s = 2],,,,36759958.0,ns,1073
Sequential Blind Schnorr,step 1[s = 2],,,,37755298.0,ns,1102
Sequential Blind Schnorr,step 1[s = 2],,,,38729421.0,ns,1131
Sequential Blind Schnorr,step 1[s = 2],,,,39725502.0,ns,1160
Sequential Blind Schnorr,step 1[s = 2],,,,40762413.0,ns,1189
Sequential Blind Schnorr,step 1[s = 2],,,,41714016.0,ns,1218
Sequential Blind Schnorr,step 1[s = 2],,,,42782018.0,ns,1247
Sequential Blind Schnorr,step 1[s = 2],,,,43736239.0,ns,1276
Sequential Blind Schnorr,step 1[s = 2],,,,44687899.0,ns,1305
Sequential Blind Schnorr,step 1[s = 2],,,,45658360.0,ns,1334
Sequential Blind Schnorr,step 1[s = 2],,,,46711304.0,ns,1363
Sequential Blind Schnorr,step 1[s = 2],,,,47656694.0,ns,1392
Sequential Blind Schnorr,step 1[s = 2],,,,48680785.0,ns,1421
Sequential Blind Schnorr,step 1[s = 2],,,,49665348.0,ns,1450
Sequential Blind Schnorr,step 1[s = 2],,,,50652708.0,ns,1479
Sequential Blind Schnorr,step 1[s = 2],,,,51674131.0,ns,1508
Sequential Blind Schnorr,step 1[s = 2],,,,52659503.0,ns,1537
Sequential Blind Schnorr,step 1[s = 2],,,,53613813.0,ns,1566
Sequential Blind Schnorr,step 1[s = 2],,,,54664036.0,ns,1595
Sequential Blind Schnorr,step 1[s = 2],,,,55695998.0,ns,1624
Sequential Blind Schnorr,step 1[s = 2],,,,56609848.0,ns,1653
Sequential Blind Schnorr,step 1[s = 2],,,,57621000.0,ns,1682
Sequential Blind Schnorr,step 1[s = 2],,,,58682282.0,ns,1711
Sequential Blind Schnorr,step 1[s = 2],,,,59528772.0,ns,1740
Sequential Blind Schnorr,step 1[s = 2],,,,60595555.0,ns,1769
Sequential Blind Schnorr,step 1[s = 2],,,,61614146.0,ns,1798
Sequential Blind Schnorr,step 1[s = 2],,,,62571277.0,ns,1827
Sequential Blind Schnorr,step 1[s = 2],,,,63574689.0,ns,1856
Sequential Blind Schnorr,step 1[s = 2],,,,64519880.0,ns,1885
Sequential Blind Schnorr,step 1[s = 2],,,,65524931.0,ns,1914
Sequential Blind Schnorr,step 1[s = 2],,,,66572714.0,ns,1943
Sequential Blind Schnorr,step 1[s = 2],,,,67560856.0,ns,1972
Sequential Blind Schnorr,step 1[s = 2],,,,68533137.0,ns,2001
Sequential Blind Schnorr,step 1[s = 2],,,,69553738.0,ns,2030
Sequential Blind Schnorr,step 1[s = 2],,,,71637925.0,ns,2059
Sequential Blind Schnorr,step 1[s = 2],,,,72013662.0,ns,2088
Sequential Blind Schnorr,step 1[s = 2],,,,72522883.0,ns,2117
Sequential Blind Schnorr,step 1[s = 2],,,,73541745.0,ns,2146
Sequential Blind Schnorr,step 1[s = 2],,,,74496046.0,ns,2175
Sequential Blind Schnorr,step 1[s = 2],,,,75481378.0,ns,2204
Sequential Blind Schnorr,step 1[s = 2],,,,76484438.0,ns,2233
Sequential Blind Schnorr,step 1[s = 2],,,,77445830.0,ns,2262
Sequential Blind Schnorr,step 1[s = 2],,,,78487553.0,ns,2291
Sequential Blind Schnorr,step 1[s = 2],,,,79418462.0,ns,2320
Sequential Blind Schnorr,step 1[s = 2],,,,80431585.0,ns,2349
Sequential Blind Schnorr,step 1[s = 2],,,,81472238.0,ns,2378
Sequential Blind Schnorr,step 1[s = 2],,,,82454588.0,ns,2407
Sequential Blind Schnorr,step 1[s = 2],,,,83556493.0,ns,2436
Sequential Blind Schnorr,step 1[s = 2],,,,84401511.0,ns,2465
Sequential Blind Schnorr,step 1[s = 2],,,,85395712.0,ns,2494
Sequential Blind Schnorr,step 1[s = 2],,,,86373923.0,ns,2523
Sequential Blind Schnorr,step 1[s = 2],,,,87353216.0,ns,2552
Sequential Blind Schnorr,step 1[s = 2],,,,89368798.0,ns,2581
Sequential Blind Schnorr,step 1[s = 2],,,,89357388.0,ns,2610
Sequential Blind Schnorr,step 1[s = 2],,,,90343950.0,ns,2639
Sequential Blind Schnorr,step 1[s = 2],,,,91369543.0,ns,2668
Sequential Blind Schnorr,step 1[s = 2],,,,92402944.0,ns,2697
Sequential Blind Schnorr,step 1[s = 2],,,,93296164.0,ns,2726
Sequential Blind Schnorr,step 1[s = 2],,,,94423738.0,ns,2755
