group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Sequential Blind Schnorr,step 4[s = 1],,,,1030993.0,ns,12
Sequential Blind Schnorr,step 4[s = 1],,,,2037964.0,ns,24
Sequential Blind Schnorr,step 4[s = 1],,,,3067925.0,ns,36
Sequential Blind Schnorr,step 4[s = 1],,,,4087499.0,ns,48
Sequential Blind Schnorr,step 4[s = 1],,,,5112520.0,ns,60
Sequential Blind Schnorr,step 4[s = 1],,,,6134513.0,ns,72
Sequential Blind Schnorr,step 4[s = 1],,,,7149984.0,ns,84
Sequential Blind Schnorr,step 4[s = 1],,,,8167916.0,ns,96
Sequential Blind Schnorr,step 4[s = 1],,,,9192508.0,ns,108
Sequential Blind Schnorr,step 4[s = 1],,,,10233181.0,ns,120
Sequential Blind Schnorr,step 4[s = 1],,,,11244763.0,ns,132
Sequential Blind Schnorr,step 4[s = 1],,,,12263334.0,ns,144
Sequential Blind Schnorr,step 4[s = 1],,,,13279616.0,ns,156
Sequential Blind Schnorr,step 4[s = 1],,,,14306739.0,ns,168
Sequential Blind Schnorr,step 4[s = 1],,,,15322921.0,ns,180
Sequential Blind Schnorr,step 4[s = 1],,,,16323522.0,ns,192
Sequential Blind Schnorr,step 4[s = 1],,,,17369195.0,ns,204
Sequential Blind Schnorr,step 4[s = 1],,,,18397487.0,ns,216
Sequential Blind Schnorr,step 4[s = 1],,,,19394438.0,ns,228
Sequential Blind Schnorr,step 4[s = 1],,,,20427921.0,ns,240
Sequential Blind Schnorr,step 4[s = 1],,,,21440522.0,ns,252
Sequential Blind Schnorr,step 4[s = 1],,,,22476235.0,ns,264
Sequential Blind Schnorr,step 4[s = 1],,,,23529038.0,ns,276
Sequential Blind Schnorr,step 4[s = 1],,,,24526889.0,ns,288
Sequential Blind Schnorr,step 4[s = 1],,,,25531921.0,ns,300
Sequential Blind Schnorr,step 4[s = 1],,,,26572963.0,ns,312
Sequential Blind Schnorr,step 4[s = 1],,,,27599535.0,ns,324
Sequential Blind Schnorr,step 4[s = 1],,,,28609428.0,ns,336
Sequential Blind Schnorr,step 4[s = 1],,,,29658499.0,ns,348
Sequential Blind Schnorr,step 4[s = 1],,,,30658932.0,ns,360
Sequential Blind Schnorr,step 4[s = 1],,,,31675413.0,ns,372
Sequential Blind Schnorr,step 4[s = 1],,,,32703176.0,ns,384
Sequential Blind Schnorr,step 4[s = 1],,,,33740028.0,ns,396
Sequential Blind Schnorr,step 4[s = 1],,,,34724839.0,ns,408
Sequential Blind Schnorr,step 4[s = 1],,,,35773941.0,ns,420
Sequential Blind Schnorr,step 4[s = 1],,,,36777144.0,ns,432
Sequential Blind Schnorr,step 4[s = 1],,,,37765855.0,ns,444
Sequential Blind Schnorr,step 4[s = 1],,,,38816347.0,ns,456
Sequential Blind Schnorr,step 4[s = 1],,,,39851689.0,ns,468
Sequential Blind Schnorr,step 4[s = 1],,,,40868452.0,ns,480
Sequential Blind Schnorr,step 4[s = 1],,,,41847733.0,ns,492
Sequential Blind Schnorr,step 4[s = 1],,,,42927146.0,ns,504
Sequential Blind Schnorr,step 4[s = 1],,,,43921078.0,ns,516
Sequential Blind Schnorr,step 4[s = 1],,,,44967310.0,ns,528
Sequential Blind Schnorr,step 4[s = 1],,,,45974841.0,ns,540
