group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Parallel Abe,16-core server handling 100 clients at 130ms EIAT,,,,14142297737.0,ns,1
Parallel Abe,16-core server handling 100 clients at 130ms EIAT,,,,13586551076.0,ns,1
Parallel Abe,16-core server handling 100 clients at 130ms EIAT,,,,12323138238.0,ns,1
Parallel Abe,16-core server handling 100 clients at 130ms EIAT,,,,13609780812.0,ns,1
Parallel Abe,16-core server handling 100 clients at 130ms EIAT,,,,11809548493.0,ns,1
Parallel Abe,16-core server handling 100 clients at 130ms EIAT,,,,11187519667.0,ns,1
Parallel Abe,16-core server handling 100 clients at 130ms EIAT,,,,15781283782.0,ns,1
Parallel Abe,16-core server handling 100 clients at 130ms EIAT,,,,12758834277.0,ns,1
Parallel Abe,16-core server handling 100 clients at 130ms EIAT,,,,12684866002.0,ns,1
Parallel Abe,16-core server handling 100 clients at 130ms EIAT,,,,12054159226.0,ns,1
Parallel Abe,16-core server handling 100 clients at 130ms EIAT,,,,11856024258.0,ns,1
Parallel Abe,16-core server handling 100 clients at 130ms EIAT,,,,12075561117.0,ns,1
Parallel Abe,16-core server handling 100 clients at 130ms EIAT,,,,12415763529.0,ns,1
Parallel Abe,16-core server handling 100 clients at 130ms EIAT,,,,12872913655.0,ns,1
Parallel Abe,16-core server handling 100 clients at 130ms EIAT,,,,12651471308.0,ns,1
Parallel Abe,16-core server handling 100 clients at 130ms EIAT,,,,13668087359.0,ns,1
Parallel Abe,16-core server handling 100 clients at 130ms EIAT,,,,14218562740.0,ns,1
Parallel Abe,16-core server handling 100 clients at 130ms EIAT,,,,13594056241.0,ns,1
Parallel Abe,16-core server handling 100 clients at 130ms EIAT,,,,12144375594.0,ns,1
Parallel Abe,16-core server handling 100 clients at 130ms EIAT,,,,14630595078.0,ns,1
Parallel Abe,16-core server handling 100 clients at 130ms EIAT,,,,12892410599.0,ns,1
Parallel Abe,16-core server handling 100 clients at 130ms EIAT,,,,15300598965.0,ns,1
Parallel Abe,16-core server handling 100 clients at 130ms EIAT,,,,10614634967.0,ns,1
Parallel Abe,16-core server handling 100 clients at 130ms EIAT,,,,12627572210.0,ns,1
Parallel Abe,16-core server handling 100 clients at 130ms EIAT,,,,12533356979.0,ns,1
Parallel Abe,16-core server handling 100 clients at 130ms EIAT,,,,14086988129.0,ns,1
Parallel Abe,16-core server handling 100 clients at 130ms EIAT,,,,11329044920.0,ns,1
