group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Parallel Abe,4-core server handling 100 clients at 90ms EIAT,,,,8403358215.0,ns,1
Parallel Abe,4-core server handling 100 clients at 90ms EIAT,,,,8188452271.0,ns,1
Parallel Abe,4-core server handling 100 clients at 90ms EIAT,,,,8711144160.0,ns,1
Parallel Abe,4-core server handling 100 clients at 90ms EIAT,,,,9074888086.0,ns,1
Parallel Abe,4-core server handling 100 clients at 90ms EIAT,,,,9926109847.0,ns,1
Parallel Abe,4-core server handling 100 clients at 90ms EIAT,,,,8980024580.0,ns,1
Parallel Abe,4-core server handling 100 clients at 90ms EIAT,,,,9156465292.0,ns,1
Parallel Abe,4-core server handling 100 clients at 90ms EIAT,,,,7729107299.0,ns,1
Parallel Abe,4-core server handling 100 clients at 90ms EIAT,,,,9657928985.0,ns,1
Parallel Abe,4-core server handling 100 clients at 90ms EIAT,,,,9495131238.0,ns,1
Parallel Abe,4-core server handling 100 clients at 90ms EIAT,,,,9511614295.0,ns,1
Parallel Abe,4-core server handling 100 clients at 90ms EIAT,,,,9428065432.0,ns,1
Parallel Abe,4-core server handling 100 clients at 90ms EIAT,,,,10711815056.0,ns,1
Parallel Abe,4-core server handling 100 clients at 90ms EIAT,,,,7955464109.0,ns,1
Parallel Abe,4-core server handling 100 clients at 90ms EIAT,,,,8657752483.0,ns,1
Parallel Abe,4-core server handling 100 clients at 90ms EIAT,,,,9479428314.0,ns,1
Parallel Abe,4-core server handling 100 clients at 90ms EIAT,,,,6801726895.0,ns,1
Parallel Abe,4-core server handling 100 clients at 90ms EIAT,,,,9932065172.0,ns,1
Parallel Abe,4-core server handling 100 clients at 90ms EIAT,,,,10960039875.0,ns,1
Parallel Abe,4-core server handling 100 clients at 90ms EIAT,,,,9263976683.0,ns,1
Parallel Abe,4-core server handling 100 clients at 90ms EIAT,,,,10063373640.0,ns,1
Parallel Abe,4-core server handling 100 clients at 90ms EIAT,,,,8795679172.0,ns,1
Parallel Abe,4-core server handling 100 clients at 90ms EIAT,,,,11318291034.0,ns,1
Parallel Abe,4-core server handling 100 clients at 90ms EIAT,,,,9360026108.0,ns,1
Parallel Abe,4-core server handling 100 clients at 90ms EIAT,,,,8799822377.0,ns,1
Parallel Abe,4-core server handling 100 clients at 90ms EIAT,,,,8499047761.0,ns,1
Parallel Abe,4-core server handling 100 clients at 90ms EIAT,,,,9036733725.0,ns,1
Parallel Abe,4-core server handling 100 clients at 90ms EIAT,,,,7962909284.0,ns,1
Parallel Abe,4-core server handling 100 clients at 90ms EIAT,,,,8145592219.0,ns,1
Parallel Abe,4-core server handling 100 clients at 90ms EIAT,,,,8819197598.0,ns,1
Parallel Abe,4-core server handling 100 clients at 90ms EIAT,,,,10538245158.0,ns,1
Parallel Abe,4-core server handling 100 clients at 90ms EIAT,,,,8909055306.0,ns,1
Parallel Abe,4-core server handling 100 clients at 90ms EIAT,,,,7120618157.0,ns,1
Parallel Abe,4-core server handling 100 clients at 90ms EIAT,,,,10244829279.0,ns,1
Parallel Abe,4-core server handling 100 clients at 90ms EIAT,,,,10278147165.0,ns,1
Parallel Abe,4-core server handling 100 clients at 90ms EIAT,,,,9522354759.0,ns,1
Parallel Abe,4-core server handling 100 clients at 90ms EIAT,,,,10093899676.0,ns,1
Parallel Abe,4-core server handling 100 clients at 90ms EIAT,,,,8835789418.0,ns,1
Parallel Abe,4-core server handling 100 clients at 90ms EIAT,,,,7589755829.0,ns,1
Parallel Abe,4-core server handling 100 clients at 90ms EIAT,,,,7716332176.0,ns,1
Parallel Abe,4-core server handling 100 clients at 90ms EIAT,,,,8940140335.0,ns,1
Parallel Abe,4-core server handling 100 clients at 90ms EIAT,,,,11328847131.0,ns,1
Parallel Abe,4-core server handling 100 clients at 90ms EIAT,,,,8151715372.0,ns,1
Parallel Abe,4-core server handling 100 clients at 90ms EIAT,,,,10055129462.0,ns,1
Parallel Abe,4-core server handling 100 clients at 90ms EIAT,,,,8301675346.0,ns,1
Parallel Abe,4-core server handling 100 clients at 90ms EIAT,,,,10205762683.0,ns,1
Parallel Abe,4-core server handling 100 clients at 90ms EIAT,,,,8696853410.0,ns,1
Parallel Abe,4-core server handling 100 clients at 90ms EIAT,,,,8586274539.0,ns,1
Parallel Abe,4-core server handling 100 clients at 90ms EIAT,,,,8881751763.0,ns,1
Parallel Abe,4-core server handling 100 clients at 90ms EIAT,,,,8651507403.0,ns,1
