group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Sequential Blind Schnorr,1-core server handling 100 clients at 10ms EIAT,,,,7201647523.0,ns,1
Sequential Blind Schnorr,1-core server handling 100 clients at 10ms EIAT,,,,7227375959.0,ns,1
Sequential Blind Schnorr,1-core server handling 100 clients at 10ms EIAT,,,,7700506330.0,ns,1
Sequential Blind Schnorr,1-core server handling 100 clients at 10ms EIAT,,,,7099320077.0,ns,1
Sequential Blind Schnorr,1-core server handling 100 clients at 10ms EIAT,,,,8106743882.0,ns,1
Sequential Blind Schnorr,1-core server handling 100 clients at 10ms EIAT,,,,8324359229.0,ns,1
Sequential Blind Schnorr,1-core server handling 100 clients at 10ms EIAT,,,,7813066295.0,ns,1
Sequential Blind Schnorr,1-core server handling 100 clients at 10ms EIAT,,,,7150731311.0,ns,1
Sequential Blind Schnorr,1-core server handling 100 clients at 10ms EIAT,,,,7851655636.0,ns,1
Sequential Blind Schnorr,1-core server handling 100 clients at 10ms EIAT,,,,7949397599.0,ns,1
Sequential Blind Schnorr,1-core server handling 100 clients at 10ms EIAT,,,,7425179362.0,ns,1
Sequential Blind Schnorr,1-core server handling 100 clients at 10ms EIAT,,,,7519531756.0,ns,1
Sequential Blind Schnorr,1-core server handling 100 clients at 10ms EIAT,,,,7173682446.0,ns,1
Sequential Blind Schnorr,1-core server handling 100 clients at 10ms EIAT,,,,7372998058.0,ns,1
Sequential Blind Schnorr,1-core server handling 100 clients at 10ms EIAT,,,,8107582376.0,ns,1
Sequential Blind Schnorr,1-core server handling 100 clients at 10ms EIAT,,,,7728586438.0,ns,1
Sequential Blind Schnorr,1-core server handling 100 clients at 10ms EIAT,,,,9308951423.0,ns,1
Sequential Blind Schnorr,1-core server handling 100 clients at 10ms EIAT,,,,7241257936.0,ns,1
Sequential Blind Schnorr,1-core server handling 100 clients at 10ms EIAT,,,,7289963285.0,ns,1
Sequential Blind Schnorr,1-core server handling 100 clients at 10ms EIAT,,,,8255071581.0,ns,1
Sequential Blind Schnorr,1-core server handling 100 clients at 10ms EIAT,,,,7224316484.0,ns,1
Sequential Blind Schnorr,1-core server handling 100 clients at 10ms EIAT,,,,8814857422.0,ns,1
Sequential Blind Schnorr,1-core server handling 100 clients at 10ms EIAT,,,,8691940845.0,ns,1
Sequential Blind Schnorr,1-core server handling 100 clients at 10ms EIAT,,,,7634577812.0,ns,1
Sequential Blind Schnorr,1-core server handling 100 clients at 10ms EIAT,,,,7279450854.0,ns,1
Sequential Blind Schnorr,1-core server handling 100 clients at 10ms EIAT,,,,7792689311.0,ns,1
Sequential Blind Schnorr,1-core server handling 100 clients at 10ms EIAT,,,,7668898152.0,ns,1
Sequential Blind Schnorr,1-core server handling 100 clients at 10ms EIAT,,,,7796000178.0,ns,1
Sequential Blind Schnorr,1-core server handling 100 clients at 10ms EIAT,,,,8909388639.0,ns,1
Sequential Blind Schnorr,1-core server handling 100 clients at 10ms EIAT,,,,8359390037.0,ns,1
Sequential Blind Schnorr,1-core server handling 100 clients at 10ms EIAT,,,,10974756874.0,ns,1
Sequential Blind Schnorr,1-core server handling 100 clients at 10ms EIAT,,,,10411633044.0,ns,1
Sequential Blind Schnorr,1-core server handling 100 clients at 10ms EIAT,,,,7901542328.0,ns,1
Sequential Blind Schnorr,1-core server handling 100 clients at 10ms EIAT,,,,8244946485.0,ns,1
Sequential Blind Schnorr,1-core server handling 100 clients at 10ms EIAT,,,,7876005724.0,ns,1
Sequential Blind Schnorr,1-core server handling 100 clients at 10ms EIAT,,,,7108129950.0,ns,1
Sequential Blind Schnorr,1-core server handling 100 clients at 10ms EIAT,,,,7846973148.0,ns,1
Sequential Blind Schnorr,1-core server handling 100 clients at 10ms EIAT,,,,7402266879.0,ns,1
Sequential Blind Schnorr,1-core server handling 100 clients at 10ms EIAT,,,,11640037052.0,ns,1
Sequential Blind Schnorr,1-core server handling 100 clients at 10ms EIAT,,,,7218077443.0,ns,1
Sequential Blind Schnorr,1-core server handling 100 clients at 10ms EIAT,,,,7600666752.0,ns,1
