group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Sequential Blind Schnorr,1-core server handling 100 clients at 130ms EIAT,,,,10950196962.0,ns,1
Sequential Blind Schnorr,1-core server handling 100 clients at 130ms EIAT,,,,13414412522.0,ns,1
Sequential Blind Schnorr,1-core server handling 100 clients at 130ms EIAT,,,,13656832633.0,ns,1
Sequential Blind Schnorr,1-core server handling 100 clients at 130ms EIAT,,,,13451905561.0,ns,1
Sequential Blind Schnorr,1-core server handling 100 clients at 130ms EIAT,,,,13549317028.0,ns,1
Sequential Blind Schnorr,1-core server handling 100 clients at 130ms EIAT,,,,13177328630.0,ns,1
Sequential Blind Schnorr,1-core server handling 100 clients at 130ms EIAT,,,,12299494357.0,ns,1
Sequential Blind Schnorr,1-core server handling 100 clients at 130ms EIAT,,,,14112607529.0,ns,1
Sequential Blind Schnorr,1-core server handling 100 clients at 130ms EIAT,,,,13725064610.0,ns,1
Sequential Blind Schnorr,1-core server handling 100 clients at 130ms EIAT,,,,13617522044.0,ns,1
Sequential Blind Schnorr,1-core server handling 100 clients at 130ms EIAT,,,,12123281005.0,ns,1
Sequential Blind Schnorr,1-core server handling 100 clients at 130ms EIAT,,,,13624094666.0,ns,1
Sequential Blind Schnorr,1-core server handling 100 clients at 130ms EIAT,,,,14834498417.0,ns,1
Sequential Blind Schnorr,1-core server handling 100 clients at 130ms EIAT,,,,12768516700.0,ns,1
Sequential Blind Schnorr,1-core server handling 100 clients at 130ms EIAT,,,,12934276057.0,ns,1
Sequential Blind Schnorr,1-core server handling 100 clients at 130ms EIAT,,,,13447352491.0,ns,1
Sequential Blind Schnorr,1-core server handling 100 clients at 130ms EIAT,,,,14748356388.0,ns,1
Sequential Blind Schnorr,1-core server handling 100 clients at 130ms EIAT,,,,11302537076.0,ns,1
Sequential Blind Schnorr,1-core server handling 100 clients at 130ms EIAT,,,,16520501254.0,ns,1
Sequential Blind Schnorr,1-core server handling 100 clients at 130ms EIAT,,,,11653248867.0,ns,1
Sequential Blind Schnorr,1-core server handling 100 clients at 130ms EIAT,,,,12356530897.0,ns,1
Sequential Blind Schnorr,1-core server handling 100 clients at 130ms EIAT,,,,11732911830.0,ns,1
Sequential Blind Schnorr,1-core server handling 100 clients at 130ms EIAT,,,,12555395382.0,ns,1
Sequential Blind Schnorr,1-core server handling 100 clients at 130ms EIAT,,,,11014639164.0,ns,1
Sequential Blind Schnorr,1-core server handling 100 clients at 130ms EIAT,,,,12825704849.0,ns,1
Sequential Blind Schnorr,1-core server handling 100 clients at 130ms EIAT,,,,13569042640.0,ns,1
Sequential Blind Schnorr,1-core server handling 100 clients at 130ms EIAT,,,,11710653563.0,ns,1
Sequential Blind Schnorr,1-core server handling 100 clients at 130ms EIAT,,,,12908253675.0,ns,1
Sequential Blind Schnorr,1-core server handling 100 clients at 130ms EIAT,,,,14396937882.0,ns,1
